title:Meital2, start timestamp:1638094773.891291, stop timestamp:1638094845.366033, headset type:EPOCX, headset serial:E20205C4, headset firmware:710, channels:67, sampling rate:eeg_128;mot_32, samples:9155      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1638094774.047055,20.000000,0.000000,4785.641113,4232.692383,4371.410156,4327.692383,4276.794922,4185.128418,4153.589844,4461.922852,4165.769043,4198.846191,4823.589844,4567.179688,4452.563965,4592.051270,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,5.000000,0.000000,0.261758,0.630310,-0.289978,0.670898,0.985472,-0.067391,0.038091,-45.164867,-2.147491,-24.626751
1638094774.054864,21.000000,0.000000,4782.948730,4231.153809,4379.230957,4318.846191,4282.692383,4192.436035,4168.205078,4462.051270,4144.102539,4203.974121,4818.846191,4569.487305,4454.743652,4586.794922,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.062572,22.000000,0.000000,4779.230957,4239.871582,4374.230957,4338.589844,4277.179688,4213.717773,4193.717773,4460.641113,4144.102539,4207.307617,4828.846191,4575.256348,4464.102539,4588.333496,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.070380,23.000000,0.000000,4780.000000,4254.743652,4366.794922,4348.717773,4284.358887,4217.307617,4205.897461,4463.205078,4144.487305,4210.512695,4831.794922,4574.230957,4470.256348,4595.897461,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.078088,24.000000,0.000000,4764.102539,4249.230957,4363.974121,4329.230957,4287.692383,4198.589844,4193.589844,4463.974121,4130.256348,4207.820313,4807.307617,4565.769043,4456.282227,4588.846191,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,6.000000,0.000000,0.261866,0.630432,-0.290039,0.670715,0.982053,-0.074228,0.041509,-45.281712,-2.132742,-24.530743
1638094774.085897,25.000000,0.000000,4737.692383,4227.307617,4359.615234,4311.794922,4276.282227,4202.563965,4186.794922,4461.922852,4129.743652,4205.384766,4794.230957,4559.230957,4437.948730,4577.948730,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.093605,26.000000,0.000000,4730.512695,4224.615234,4350.897461,4318.717773,4279.871582,4221.922852,4188.717773,4463.333496,4128.333496,4202.307617,4809.230957,4554.102539,4438.974121,4577.948730,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.101513,27.000000,0.000000,4739.871582,4245.897461,4347.051270,4343.717773,4292.692383,4209.743652,4184.102539,4464.102539,4113.077148,4193.974121,4819.615234,4550.769043,4450.256348,4585.128418,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.109321,28.000000,0.000000,4743.461426,4262.820313,4353.846191,4349.102539,4282.948730,4192.436035,4179.487305,4460.641113,4112.563965,4197.179688,4818.077148,4555.256348,4457.436035,4597.051270,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,7.000000,0.000000,0.261949,0.630676,-0.289856,0.670532,0.973263,-0.059578,0.046881,-45.220207,-2.152801,-24.644335
1638094774.117229,29.000000,0.000000,4744.102539,4271.538574,4372.436035,4342.179688,4273.846191,4208.333496,4185.256348,4461.538574,4118.974121,4212.307617,4830.769043,4575.384766,4470.128418,4623.333496,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.125037,30.000000,0.000000,4739.743652,4285.256348,4384.358887,4351.410156,4288.205078,4213.589844,4189.871582,4465.512695,4109.743652,4210.128418,4845.897461,4596.794922,4477.692383,4647.563965,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.132946,31.000000,0.000000,4717.179688,4284.102539,4376.666504,4343.846191,4292.307617,4196.282227,4179.102539,4463.461426,4108.077148,4193.333496,4840.000000,4596.794922,4467.563965,4647.692383,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.140754,32.000000,0.000000,4693.077148,4266.153809,4371.282227,4316.538574,4275.641113,4198.974121,4172.820313,4460.256348,4116.282227,4187.692383,4829.102539,4586.666504,4458.077148,4636.282227,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,1.000000,8.333333,1.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,3.000000,8.000000,0.000000,0.262538,0.630859,-0.289490,0.670288,0.967892,-0.053717,0.026370,-45.181522,-2.270854,-24.679901
1638094774.148662,33.000000,0.000000,4683.333496,4268.974121,4377.820313,4325.897461,4275.897461,4214.487305,4188.846191,4462.179688,4112.948730,4196.410156,4833.461426,4587.179688,4459.230957,4630.512695,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.156470,34.000000,0.000000,4670.897461,4283.077148,4386.153809,4363.205078,4294.487305,4221.410156,4208.461426,4463.461426,4106.922852,4211.410156,4842.820313,4591.538574,4460.000000,4632.051270,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.164378,35.000000,0.000000,4649.743652,4275.384766,4384.743652,4366.410156,4298.589844,4216.025879,4205.769043,4462.051270,4096.794922,4211.282227,4838.205078,4585.897461,4456.410156,4636.538574,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.172186,36.000000,0.000000,4634.230957,4263.846191,4374.230957,4344.358887,4292.436035,4213.846191,4199.230957,4462.692383,4090.000000,4195.128418,4835.000000,4583.846191,4457.051270,4640.641113,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,9.000000,0.000000,0.262986,0.630432,-0.289307,0.670593,0.988890,-0.070809,0.037114,-45.196701,-2.293769,-24.711912
1638094774.179895,37.000000,0.000000,4616.153809,4266.025879,4360.384766,4328.077148,4293.974121,4217.820313,4205.641113,4462.563965,4096.666504,4191.410156,4846.282227,4588.974121,4459.102539,4638.717773,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638094774.187703,38.000000,0.000000,4594.743652,4269.102539,4349.871582,4330.897461,4295.256348,4209.615234,4206.538574,4459.615234,4096.666504,4200.769043,4856.025879,4578.333496,4458.846191,4630.384766,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
